Event	ID	Name			Wwise Object Path	Notes
	3265814676	Amb_Cannons			\Default Work Unit\Amb_Cannons	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	48146732	LTDC_AMB_Cannon_LayerHeavy_Random_006	.cache\DB\{DB58178A-42BD-79DA-BECE-D1C4B68520BC}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_006		1008252
	204772150	LTDC_AMB_Cannon_LayerHeavy_Random_005	.cache\57\{57146509-47D4-8F72-45B2-2C5DD0E2C559}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_005		707712
	217321236	LTDC_AMB_Cannon_LayerHeavy_Random_007	.cache\EC\{EC5F9702-A9AD-B15B-9F7B-0358FCD12A96}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_007		989052
	289258374	LTDC_AMB_Cannon_LayerLight_Random_010	.cache\FB\{FB933B86-AA20-28A1-1721-8B7A76D90D00}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_010		994480
	306573068	LTDC_AMB_Cannon_LayerHeavy_Random_001	.cache\7A\{7A8931A5-9A68-DD5F-1F5D-5CF4D9ED705D}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_001		990140
	365568969	LTDC_AMB_Cannon_LayerLight_Random_004	.cache\02\{02D3FB08-9291-A1EF-EEB4-622F2540CA78}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_004		968064
	452551683	LTDC_AMB_Cannon_LayerHeavy_Random_011	.cache\D5\{D585ED7A-C650-B188-2C62-E14115F0D9E4}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_011		1010392
	553541874	LTDC_AMB_Cannon_LayerHeavy_Random_004	.cache\DF\{DF06A05D-DE59-258E-BC26-D0C70FD6FB4F}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_004		1402136
	583909241	LTDC_AMB_Cannon_LayerLight_Random_005	.cache\95\{9560E3B1-2544-11A1-7A70-65D0BAC303B9}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_005		916696
	620277512	LTDC_AMB_Cannon_LayerHeavy_Random_010	.cache\70\{704B4319-DAFF-74C0-C4C3-3D905E7A3D45}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_010		700644
	774170018	LTDC_AMB_Cannon_LayerLight_Random_006	.cache\08\{08928B15-CFFE-DB94-D00C-D00A360872ED}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_006		923728
	802062891	LTDC_AMB_Cannon_LayerLight_Random_007	.cache\48\{4886509B-82F8-71CE-41EE-B15679B2B33F}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_007		844592
	802378305	LTDC_AMB_Cannon_LayerHeavy_Random_002	.cache\34\{34509236-76D6-A4F1-DC3C-DC925F019A33}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_002		730320
	861553087	LTDC_AMB_Cannon_LayerHeavy_Random_003	.cache\EA\{EAAB754A-4E49-8879-19DA-F515A2B14412}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_003		743664
	897804476	LTDC_AMB_Cannon_LayerHeavy_Random_008	.cache\87\{87CA6EFC-EC68-DFAE-15C7-2AC4B1788800}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_008		1472248
	908746399	LTDC_AMB_Cannon_LayerLight_Random_009	.cache\86\{8629A294-1EB6-0066-751C-6E2652B77EE6}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_009		1478008
	927552990	LTDC_AMB_Cannon_LayerLight_Random_008	.cache\E2\{E2CDD9F8-711A-5234-2AFD-609BF8155FC5}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_008		1024840
	1011832069	LTDC_AMB_Cannon_LayerLight_Random_002	.cache\AB\{ABE29323-DF57-36FF-954A-6A4312D3FEF4}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_002		1059788
	1015776938	LTDC_AMB_Cannon_LayerHeavy_Random_009	.cache\14\{14403435-EB9E-EB6D-6BB6-BD7BB28C5AA3}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_009		1409788
	1020890998	LTDC_AMB_Cannon_LayerLight_Random_003	.cache\E2\{E2938E30-7F13-59A3-E836-3754A4EC316F}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_003		874172
	1056690897	LTDC_AMB_Cannon_LayerLight_Random_011	.cache\6E\{6E8D2F62-A76F-F624-A066-81D6CC206EE4}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_011		1004208
	1070142580	LTDC_AMB_Cannon_LayerLight_Random_001	.cache\4C\{4C4F4A6E-6639-F748-0B1A-CF9EA5EEE9A3}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_001		1026184

