Event	ID	Name			Wwise Object Path	Notes
	482738278	Barricade_Damaged			\SFX\Barricade\Barricade_Damaged	
	2469499398	Cannon_Shoot			\SFX\Cannon\Cannon_Shoot	
	3687575925	Deafening_Recover			\SFX\Player\Deafening_Recover	
	3840667520	Brick_Fall			\SFX\Barricade\Brick_Fall	

Switch Group	ID	Name			Wwise Object Path	Notes
	459611840	Debris			\Default Work Unit\Debris	

Switch	ID	Name	Switch Group			Notes
	998496889	First	Debris			
	3476314365	Second	Debris			

Effect plug-ins	ID	Name	Type				Notes
	508389284	Meter (Custom)	Wwise Meter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	150264634	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_004	.cache\15\{150992B6-1115-3D4C-C87C-FD480C2AE8EC}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_004		27480
	159950334	LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_005	.cache\8F\{8F7FF06A-B6DD-6789-0D45-C9749F3883E7}.wem		\Containers\SFX\Barricade\Debris_Brick\Heavy_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_005		78068
	206031601	LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_001	.cache\39\{394B1D28-2319-361E-2DC5-0DFA5B3714EF}.wem		\Containers\SFX\Barricade\Debris_Brick\Heavy_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_001		18248
	219682458	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_005	.cache\C6\{C63B2DF5-73ED-94FA-F69D-12EB7D98E5F9}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_005		24040
	228586405	LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_006	.cache\37\{37511143-625D-54F8-7F4C-542EFB5FF696}.wem		\Containers\SFX\Barricade\Debris_Brick\Heavy_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_006		36976
	306712885	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_006	.cache\CA\{CAF8E720-022D-C3C9-1AAF-3AF8BE2219CA}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_006		26240
	368056344	LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_002	.cache\1A\{1A9E0EB2-D736-404F-3383-CB60C8D2F285}.wem		\Containers\SFX\Barricade\Debris_Brick\Heavy_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_002		31768
	413837929	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_001	.cache\3E\{3ED25868-8C17-42FA-140F-E4AA00C0E290}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_001		30220
	432687729	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_003	.cache\7A\{7AB8D42A-98E8-06BF-9B0E-864F4DB7F3F1}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_003		32992
	462682528	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_007	.cache\1E\{1E96DD11-A20E-5A36-A8B8-C6D1A2CF89CC}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_007		27792
	569318931	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_008	.cache\89\{89557C1D-6CBF-FB9E-40B0-E0C3B27CCFDC}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_008		15236
	573833834	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_012	.cache\F4\{F48C9A9A-3DC5-94D8-0AA5-3429CB98C8DE}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_012		89440
	770928260	LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_003	.cache\0F\{0F1293BE-3E84-DBC1-1056-0E1BA0D69465}.wem		\Containers\SFX\Barricade\Debris_Brick\Heavy_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_003		29972
	777364051	LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_011	.cache\61\{61DB8F12-716D-A212-DEA2-1BF6E8FB427E}.wem		\Containers\SFX\Barricade\Debris_Brick\Light_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Light_Random_011		38064
	831039896	LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_004	.cache\F1\{F13111E5-93C1-B592-82E0-2B8E67DDB397}.wem		\Containers\SFX\Barricade\Debris_Brick\Heavy_Brick\LTDC_SFX_Barricade_Debris_LayerBrick_Heavy_Random_004		37508
