Event	ID	Name			Wwise Object Path	Notes
	3265814676	Amb_Cannons			\SFX\Amb_Cannons	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	48146732	LTDC_AMB_Cannon_LayerHeavy_Random_006	.cache\BA\{BA69DFE4-43DD-BED9-587D-1769231C4D77}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_006		17245
	204772150	LTDC_AMB_Cannon_LayerHeavy_Random_005	.cache\6B\{6BD4C099-0452-33FC-683A-8E16629C49C3}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_005		12777
	217321236	LTDC_AMB_Cannon_LayerHeavy_Random_007	.cache\55\{55D0D6B1-273B-A4A6-FA2E-82716ED2A0D3}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_007		17079
	289258374	LTDC_AMB_Cannon_LayerLight_Random_010	.cache\DB\{DB552FCF-9D42-DD33-8B0E-7372B6A3D5F4}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_010		19819
	306573068	LTDC_AMB_Cannon_LayerHeavy_Random_001	.cache\35\{35BCB11A-00C5-60B2-5342-AC2206F5A893}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_001		17106
	310481320	LTDC_AMB_Street_WindBirds_Loop	.cache\69\{69A0BA15-5395-FB3E-F31B-D9C9FF01C2A2}.wem		\Containers\AMB\Street\LTDC_AMB_Street_WindBirds_Loop		1394
	365568969	LTDC_AMB_Cannon_LayerLight_Random_004	.cache\C2\{C227EA24-BB64-2C9B-5404-8E9D2054060D}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_004		19135
	452551683	LTDC_AMB_Cannon_LayerHeavy_Random_011	.cache\7A\{7A4C15D6-2C30-6B25-6AE7-505E47B72801}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_011		17101
	553541874	LTDC_AMB_Cannon_LayerHeavy_Random_004	.cache\24\{246207D5-0622-079D-604D-681862545220}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_004		24271
	583909241	LTDC_AMB_Cannon_LayerLight_Random_005	.cache\CB\{CBB86131-402B-5B1B-F80D-352F2A93AC27}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_005		18509
	620277512	LTDC_AMB_Cannon_LayerHeavy_Random_010	.cache\01\{018AA2B4-06B9-7ACC-628F-EA20F815675D}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_010		12604
	774170018	LTDC_AMB_Cannon_LayerLight_Random_006	.cache\C0\{C04A9AE2-1508-C819-B937-BA593769F528}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_006		18661
	802062891	LTDC_AMB_Cannon_LayerLight_Random_007	.cache\C8\{C802AA89-EED9-D4C6-AD4F-FDCBA9185396}.wem		\Containers\AMB\Cannons\Cannons_Light\LTDC_AMB_Cannon_LayerLight_Random_007		17446
	802378305	LTDC_AMB_Cannon_LayerHeavy_Random_002	.cache\36\{36FF1F82-CE9C-96EF-7224-975DA8556471}.wem		\Containers\AMB\Cannons\Cannons_Heavy\LTDC_AMB_Cannon_LayerHeavy_Random_002		13550
