Event	ID	Name			Wwise Object Path	Notes
	1050776119	Enemy_Shoot			\SFX\Enemy\Enemy_Shoot	
	1318320503	Ally_Bark_Coward			\VX\Ally\Ally_Bark_Coward	
	2802320212	Enemy_Bark			\VX\Enemy\Enemy_Bark	
	3114531655	Enemy_Steps			\SFX\Enemy\Enemy_Steps	
	3295768610	Ally_Bark_Ally_Dead			\VX\Ally\Ally_Bark_Ally_Dead	
	3470134616	Ally_Bark			\VX\Ally\Ally_Bark	
	3598975830	Ally_Bark_Enemy_Dead			\VX\Ally\Ally_Bark_Enemy_Dead	
	3687575925	Deafening_Recover			\SFX\Player\Deafening_Recover	
	3787232089	Enemy_Bullet_Miss			\SFX\Enemy\Enemy_Bullet_Miss	

Switch Group	ID	Name			Wwise Object Path	Notes
	1834394558	Surface			\Default Work Unit\Surface	

Switch	ID	Name	Switch Group			Notes
	504532776	Brick	Surface			
	2058049674	Wood	Surface			
	2449969375	Glass	Surface			
	2473969246	Metal	Surface			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	Distance			\Default Work Unit\Distance	
	2103536148	Bark_Volume			\Default Work Unit\Bark_Volume	

Effect plug-ins	ID	Name	Type				Notes
	807526038	Meter (Custom)	Wwise Meter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12475208	Vx_Plachold_Vas-009	.cache\28\{280315C5-DB1F-E8C0-A416-8BA4DD81C804}.wem		\Containers\VX\NPC\Communard\Feedback\Enemy_Dead\Vx_Plachold_Vas-009		39777
	24042832	LTDC_SFX_Bullet_Hit_LayerBrick_Random_1	.cache\D5\{D53AF61A-41BD-35F6-1D31-59D9ECEB7E7B}.wem		\Containers\SFX\Characters\NPC\Bullet_Hit\Bullet_Hit_Surface\Bullet_Hit_Brick\LTDC_SFX_Bullet_Hit_LayerBrick_Random_1		50344
	25468903	Vx_Plachold_Vas-001	.cache\47\{47D64754-A498-3096-9DFE-9437213FD1E2}.wem		\Containers\VX\NPC\Communard\Generic_Communard\Vx_Plachold_Vas-001		49360
	41844498	Vx_Plachold_Vas-006	.cache\23\{23ACE953-8788-5696-2D1A-5391C22D735F}.wem		\Containers\VX\NPC\Communard\Generic_Communard\Vx_Plachold_Vas-006		39205
	49514846	Vx_Plachold_Vas-010	.cache\72\{724C1274-8952-A11D-04F3-0E1ED3DD52DE}.wem		\Containers\VX\NPC\Communard\Generic_Communard\Vx_Plachold_Vas-010		36763
	144592759	Vx_Plachold_Vas-007	.cache\3A\{3AAEE18B-E85D-52F9-3333-62575D8E16BD}.wem		\Containers\VX\NPC\Communard\Generic_Communard\Vx_Plachold_Vas-007		43915
	157719317	Vx_Plachold_Vas-005	.cache\98\{98B10C71-D0F8-55C5-B2E6-69760B8DDD20}.wem		\Containers\VX\NPC\Communard\Generic_Communard\Vx_Plachold_Vas-005		57440
